bench, mem, temp, row_size, row_count, col_count, cycles
q1, r, h, 64, 32768, 4, 223392
q1, d, -, 64, 32768, 4, 352247
q1, c, -, 64, 32768, 4, 171397
q1, r, c, 64, 32768, 4, 228198
q1, r, h, 64, 32768, 4, 222146
q1, d, -, 64, 32768, 4, 354496
q1, c, -, 64, 32768, 4, 171753
q1, r, c, 64, 32768, 4, 223551
q1, r, h, 64, 32768, 4, 223981
q1, d, -, 64, 32768, 4, 353334
q1, c, -, 64, 32768, 4, 171251
q1, r, c, 64, 32768, 4, 224847
q1, r, h, 64, 32768, 4, 224734
q1, d, -, 64, 32768, 4, 353754
q1, c, -, 64, 32768, 4, 171267
q1, r, c, 64, 32768, 4, 224727
q1, r, h, 64, 32768, 4, 224204
q1, d, -, 64, 32768, 4, 354625
q1, c, -, 64, 32768, 4, 170827
q1, r, c, 64, 32768, 4, 226493
q1, r, h, 64, 32768, 4, 225286
q1, d, -, 64, 32768, 4, 352272
q1, c, -, 64, 32768, 4, 172160
q1, r, c, 64, 32768, 4, 237444
q1, r, h, 64, 32768, 4, 223476
q1, d, -, 64, 32768, 4, 355942
q1, c, -, 64, 32768, 4, 172115
q1, r, c, 64, 32768, 4, 223540
q1, r, h, 64, 32768, 4, 227647
q1, d, -, 64, 32768, 4, 353840
q1, c, -, 64, 32768, 4, 170378
q1, r, c, 64, 32768, 4, 223552
q1, r, h, 64, 32768, 4, 224457
q1, d, -, 64, 32768, 4, 353791
q1, c, -, 64, 32768, 4, 171781
q1, r, c, 64, 32768, 4, 223548
q1, r, h, 64, 32768, 4, 223430
q1, d, -, 64, 32768, 4, 353690
q1, c, -, 64, 32768, 4, 169856
q1, r, c, 64, 32768, 4, 226172
q1, r, h, 64, 32768, 4, 222360
q1, d, -, 64, 32768, 4, 353588
q1, c, -, 64, 32768, 4, 171214
q1, r, c, 64, 32768, 4, 225814
q1, r, h, 64, 32768, 4, 222410
q1, d, -, 64, 32768, 4, 360914
q1, c, -, 64, 32768, 4, 169866
q1, r, c, 64, 32768, 4, 223565
q1, r, h, 64, 32768, 4, 223455
q1, d, -, 64, 32768, 4, 354121
q1, c, -, 64, 32768, 4, 169701
q1, r, c, 64, 32768, 4, 229178
q1, r, h, 64, 32768, 4, 227219
q1, d, -, 64, 32768, 4, 353521
q1, c, -, 64, 32768, 4, 171268
q1, r, c, 64, 32768, 4, 226104
q1, r, h, 64, 32768, 4, 222191
q1, d, -, 64, 32768, 4, 353636
q1, c, -, 64, 32768, 4, 172121
q1, r, c, 64, 32768, 4, 223536
q1, r, h, 64, 32768, 4, 224616
q1, d, -, 64, 32768, 4, 353524
q1, c, -, 64, 32768, 4, 177403
q1, r, c, 64, 32768, 4, 237369
q1, r, h, 64, 32768, 4, 223384
q1, d, -, 64, 32768, 4, 354158
q1, c, -, 64, 32768, 4, 169272
q1, r, c, 64, 32768, 4, 226497
q1, r, h, 64, 32768, 4, 222050
q1, d, -, 64, 32768, 4, 356090
q1, c, -, 64, 32768, 4, 173389
q1, r, c, 64, 32768, 4, 230324
q1, r, h, 64, 32768, 4, 222482
q1, d, -, 64, 32768, 4, 356675
q1, c, -, 64, 32768, 4, 172007
q1, r, c, 64, 32768, 4, 223553
q1, r, h, 64, 32768, 4, 223263
q1, d, -, 64, 32768, 4, 353660
q1, c, -, 64, 32768, 4, 170939
q1, r, c, 64, 32768, 4, 226703
q1, r, h, 64, 32768, 4, 222997
q1, d, -, 64, 32768, 4, 354590
q1, c, -, 64, 32768, 4, 170899
q1, r, c, 64, 32768, 4, 225611
q1, r, h, 64, 32768, 4, 222168
q1, d, -, 64, 32768, 4, 353640
q1, c, -, 64, 32768, 4, 172648
q1, r, c, 64, 32768, 4, 223547
q1, r, h, 64, 32768, 4, 223598
q1, d, -, 64, 32768, 4, 353243
q1, c, -, 64, 32768, 4, 170542
q1, r, c, 64, 32768, 4, 235910
q1, r, h, 64, 32768, 4, 234160
q1, d, -, 64, 32768, 4, 354171
q1, c, -, 64, 32768, 4, 172629
q1, r, c, 64, 32768, 4, 230652
q1, r, h, 64, 32768, 4, 222411
q1, d, -, 64, 32768, 4, 353657
q1, c, -, 64, 32768, 4, 172418
q1, r, c, 64, 32768, 4, 223536
q1, r, h, 64, 32768, 4, 224207
q1, d, -, 64, 32768, 4, 354026
q1, c, -, 64, 32768, 4, 169344
q1, r, c, 64, 32768, 4, 225052
q1, r, h, 64, 32768, 4, 226605
q1, d, -, 64, 32768, 4, 353709
q1, c, -, 64, 32768, 4, 171480
q1, r, c, 64, 32768, 4, 289458
q1, r, h, 64, 32768, 4, 286749
q1, d, -, 64, 32768, 4, 456577
q1, c, -, 64, 32768, 4, 169988
q1, r, c, 64, 32768, 4, 287155
q1, r, h, 64, 32768, 4, 285807
q1, d, -, 64, 32768, 4, 456977
q1, c, -, 64, 32768, 4, 171000
q1, r, c, 64, 32768, 4, 292425
q1, r, h, 64, 32768, 4, 286980
q1, d, -, 64, 32768, 4, 466081
q1, c, -, 64, 32768, 4, 174114
q1, r, c, 64, 32768, 4, 287162
q1, r, h, 64, 32768, 4, 297093
q1, d, -, 64, 32768, 4, 457418
q1, c, -, 64, 32768, 4, 171384
q1, r, c, 64, 32768, 4, 288932
q1, r, h, 64, 32768, 4, 286851
q1, d, -, 64, 32768, 4, 465730
q1, c, -, 64, 32768, 4, 169703
q1, r, c, 64, 32768, 4, 289344
q1, r, h, 64, 32768, 4, 289061
q1, d, -, 64, 32768, 4, 456977
q1, c, -, 64, 32768, 4, 170625
q1, r, c, 64, 32768, 4, 289918
q1, r, h, 64, 32768, 4, 286676
q1, d, -, 64, 32768, 4, 456341
q1, c, -, 64, 32768, 4, 172972
q1, r, c, 64, 32768, 4, 289838
q1, r, h, 64, 32768, 4, 285853
q1, d, -, 64, 32768, 4, 459105
q1, c, -, 64, 32768, 4, 172990
q1, r, c, 64, 32768, 4, 300988
q1, r, h, 64, 32768, 4, 286910
q1, d, -, 64, 32768, 4, 457222
q1, c, -, 64, 32768, 4, 170437
q1, r, c, 64, 32768, 4, 287151
q1, r, h, 64, 32768, 4, 286896
q1, d, -, 64, 32768, 4, 456437
q1, c, -, 64, 32768, 4, 171379
q1, r, c, 64, 32768, 4, 289149
q1, r, h, 64, 32768, 4, 286717
q1, d, -, 64, 32768, 4, 462402
q1, c, -, 64, 32768, 4, 170252
q1, r, c, 64, 32768, 4, 289365
q1, r, h, 64, 32768, 4, 286505
q1, d, -, 64, 32768, 4, 459172
q1, c, -, 64, 32768, 4, 170316
q1, r, c, 64, 32768, 4, 289499
q1, r, h, 64, 32768, 4, 286973
q1, d, -, 64, 32768, 4, 456874
q1, c, -, 64, 32768, 4, 170542
q1, r, c, 64, 32768, 4, 287157
q1, r, h, 64, 32768, 4, 286794
q1, d, -, 64, 32768, 4, 456286
q1, c, -, 64, 32768, 4, 171191
q1, r, c, 64, 32768, 4, 292145
q1, r, h, 64, 32768, 4, 285855
q1, d, -, 64, 32768, 4, 457333
q1, c, -, 64, 32768, 4, 169739
q1, r, c, 64, 32768, 4, 289357
q1, r, h, 64, 32768, 4, 286867
q1, d, -, 64, 32768, 4, 457423
q1, c, -, 64, 32768, 4, 170950
q1, r, c, 64, 32768, 4, 289172
q1, r, h, 64, 32768, 4, 286429
q1, d, -, 64, 32768, 4, 457124
q1, c, -, 64, 32768, 4, 170138
q1, r, c, 64, 32768, 4, 289450
q1, r, h, 64, 32768, 4, 286678
q1, d, -, 64, 32768, 4, 457563
q1, c, -, 64, 32768, 4, 172536
q1, r, c, 64, 32768, 4, 287125
q1, r, h, 64, 32768, 4, 288599
q1, d, -, 64, 32768, 4, 456786
