q1, r, c, 1024, 32768, 2, 160018
q1, r, h, 1024, 32768, 2, 160892
q1, d, -, 1024, 32768, 2, 620405
q1, c, -, 1024, 32768, 2, 170432
q1, r, c, 1024, 32768, 2, 164506
q1, r, h, 1024, 32768, 2, 158999
q1, d, -, 1024, 32768, 2, 621473
q1, c, -, 1024, 32768, 2, 169407
q1, r, c, 1024, 32768, 2, 159987
q1, r, h, 1024, 32768, 2, 160790
q1, d, -, 1024, 32768, 2, 620377
q1, c, -, 1024, 32768, 2, 172303
q1, r, c, 1024, 32768, 2, 159986
q1, r, h, 1024, 32768, 2, 161217
q1, d, -, 1024, 32768, 2, 621336
q1, c, -, 1024, 32768, 2, 172288
q1, r, c, 1024, 32768, 2, 159997
q1, r, h, 1024, 32768, 2, 163510
q1, d, -, 1024, 32768, 2, 627327
q1, c, -, 1024, 32768, 2, 171284
q1, r, c, 1024, 32768, 2, 162139
q1, r, h, 1024, 32768, 2, 159055
q1, d, -, 1024, 32768, 2, 622205
q1, c, -, 1024, 32768, 2, 170783
q1, r, c, 1024, 32768, 2, 162302
q1, r, h, 1024, 32768, 2, 158926
q1, d, -, 1024, 32768, 2, 622464
q1, c, -, 1024, 32768, 2, 171575
q1, r, c, 1024, 32768, 2, 162505
q1, r, h, 1024, 32768, 2, 159001
q1, d, -, 1024, 32768, 2, 624343
q1, c, -, 1024, 32768, 2, 171437
q1, r, c, 1024, 32768, 3, 223540
q1, r, h, 1024, 32768, 3, 223953
q1, d, -, 1024, 32768, 3, 726999
q1, c, -, 1024, 32768, 3, 171237
q1, r, c, 1024, 32768, 3, 223560
q1, r, h, 1024, 32768, 3, 223469
q1, d, -, 1024, 32768, 3, 729682
q1, c, -, 1024, 32768, 3, 169965
q1, r, c, 1024, 32768, 3, 226046
q1, r, h, 1024, 32768, 3, 222162
q1, d, -, 1024, 32768, 3, 739171
q1, c, -, 1024, 32768, 3, 172848
q1, r, c, 1024, 32768, 3, 235918
q1, r, h, 1024, 32768, 3, 223787
q1, d, -, 1024, 32768, 3, 726606
q1, c, -, 1024, 32768, 3, 181002
q1, r, c, 1024, 32768, 3, 226280
q1, r, h, 1024, 32768, 3, 224876
q1, d, -, 1024, 32768, 3, 731186
q1, c, -, 1024, 32768, 3, 172351
q1, r, c, 1024, 32768, 3, 228399
q1, r, h, 1024, 32768, 3, 222184
q1, d, -, 1024, 32768, 3, 729909
q1, c, -, 1024, 32768, 3, 171202
q1, r, c, 1024, 32768, 3, 223538
q1, r, h, 1024, 32768, 3, 224095
q1, d, -, 1024, 32768, 3, 727184
q1, c, -, 1024, 32768, 3, 170494
q1, r, c, 1024, 32768, 3, 223538
q1, r, h, 1024, 32768, 3, 227642
q1, d, -, 1024, 32768, 3, 728247
q1, c, -, 1024, 32768, 3, 169065
q1, r, c, 1024, 32768, 3, 225503
q1, r, h, 1024, 32768, 3, 222298
q1, d, -, 1024, 32768, 3, 727482
q1, c, -, 1024, 32768, 3, 171769
q1, r, c, 1024, 32768, 3, 225929
q1, r, h, 1024, 32768, 3, 222334
q1, d, -, 1024, 32768, 3, 730256
q1, c, -, 1024, 32768, 3, 177335
q1, r, c, 1024, 32768, 3, 223570
q1, r, h, 1024, 32768, 3, 223726
q1, d, -, 1024, 32768, 3, 728196
q1, c, -, 1024, 32768, 3, 171593
q1, r, c, 1024, 32768, 3, 223547
q1, r, h, 1024, 32768, 3, 233478
q1, d, -, 1024, 32768, 3, 727203
q1, c, -, 1024, 32768, 3, 169941
q1, r, c, 1024, 32768, 3, 223563
q1, r, h, 1024, 32768, 3, 224140
q1, d, -, 1024, 32768, 3, 727174
q1, c, -, 1024, 32768, 3, 172192
q1, r, c, 1024, 32768, 3, 223556
q1, r, h, 1024, 32768, 3, 229364
q1, d, -, 1024, 32768, 3, 730896
q1, c, -, 1024, 32768, 3, 170518
q1, r, c, 1024, 32768, 3, 223551
q1, r, h, 1024, 32768, 3, 225192
q1, d, -, 1024, 32768, 3, 727064
q1, c, -, 1024, 32768, 3, 170343
q1, r, c, 1024, 32768, 3, 223562
q1, r, h, 1024, 32768, 3, 223692
q1, d, -, 1024, 32768, 3, 729330
q1, c, -, 1024, 32768, 3, 170427
q1, r, c, 1024, 32768, 3, 226034
q1, r, h, 1024, 32768, 3, 222335
q1, d, -, 1024, 32768, 3, 728061
q1, c, -, 1024, 32768, 3, 171688
q1, r, c, 1024, 32768, 3, 227819
q1, r, h, 1024, 32768, 3, 222266
q1, d, -, 1024, 32768, 3, 727725
q1, c, -, 1024, 32768, 3, 171348
q1, r, c, 1024, 32768, 3, 226076
q1, r, h, 1024, 32768, 3, 222288
q1, d, -, 1024, 32768, 3, 727476
q1, c, -, 1024, 32768, 3, 172824
q1, r, c, 1024, 32768, 3, 225823
q1, r, h, 1024, 32768, 3, 222274
q1, d, -, 1024, 32768, 3, 727857
q1, c, -, 1024, 32768, 3, 171111
q1, r, c, 1024, 32768, 3, 226033
q1, r, h, 1024, 32768, 3, 224236
q1, d, -, 1024, 32768, 3, 728525
q1, c, -, 1024, 32768, 3, 171973
q1, r, c, 1024, 32768, 3, 225438
q1, r, h, 1024, 32768, 3, 223194
q1, d, -, 1024, 32768, 3, 726463
q1, c, -, 1024, 32768, 3, 171737
q1, r, c, 1024, 32768, 3, 226190
q1, r, h, 1024, 32768, 3, 226843
q1, d, -, 1024, 32768, 3, 726383
q1, c, -, 1024, 32768, 3, 171145
q1, r, c, 1024, 32768, 3, 226087
q1, r, h, 1024, 32768, 3, 222287
q1, d, -, 1024, 32768, 3, 729554
q1, c, -, 1024, 32768, 3, 172578
q1, r, c, 1024, 32768, 3, 235548
q1, r, h, 1024, 32768, 3, 225398
q1, d, -, 1024, 32768, 3, 730886
q1, c, -, 1024, 32768, 3, 172936
q1, r, c, 1024, 32768, 3, 223558
q1, r, h, 1024, 32768, 3, 223939
q1, d, -, 1024, 32768, 3, 733658
q1, c, -, 1024, 32768, 3, 170436
q1, r, c, 1024, 32768, 3, 223556
q1, r, h, 1024, 32768, 3, 223553
q1, d, -, 1024, 32768, 3, 727797
q1, c, -, 1024, 32768, 3, 170594
q1, r, c, 1024, 32768, 3, 234687
q1, r, h, 1024, 32768, 3, 226309
q1, d, -, 1024, 32768, 3, 727740
q1, c, -, 1024, 32768, 3, 173321
q1, r, c, 1024, 32768, 3, 223573
q1, r, h, 1024, 32768, 3, 224608
q1, d, -, 1024, 32768, 3, 729486
q1, c, -, 1024, 32768, 3, 171460
q1, r, c, 1024, 32768, 3, 223536
q1, r, h, 1024, 32768, 3, 224439
q1, d, -, 1024, 32768, 3, 730029
q1, c, -, 1024, 32768, 3, 170166
q1, r, c, 1024, 32768, 4, 287187
q1, r, h, 1024, 32768, 4, 293426
q1, d, -, 1024, 32768, 4, 825661
q1, c, -, 1024, 32768, 4, 171523
q1, r, c, 1024, 32768, 4, 301619
q1, r, h, 1024, 32768, 4, 293508
q1, d, -, 1024, 32768, 4, 834899
q1, c, -, 1024, 32768, 4, 169497
q1, r, c, 1024, 32768, 4, 287196
q1, r, h, 1024, 32768, 4, 285823
q1, d, -, 1024, 32768, 4, 828568
q1, c, -, 1024, 32768, 4, 172265
q1, r, c, 1024, 32768, 4, 303282
q1, r, h, 1024, 32768, 4, 292424
q1, d, -, 1024, 32768, 4, 829439
q1, c, -, 1024, 32768, 4, 170948
q1, r, c, 1024, 32768, 4, 289519
q1, r, h, 1024, 32768, 4, 290714
q1, d, -, 1024, 32768, 4, 827538
q1, c, -, 1024, 32768, 4, 168896
q1, r, c, 1024, 32768, 4, 290172
q1, r, h, 1024, 32768, 4, 287040
q1, d, -, 1024, 32768, 4, 847473
q1, c, -, 1024, 32768, 4, 170406
q1, r, c, 1024, 32768, 4, 287167
q1, r, h, 1024, 32768, 4, 286838
q1, d, -, 1024, 32768, 4, 829587
q1, c, -, 1024, 32768, 4, 169247
q1, r, c, 1024, 32768, 4, 289083
q1, r, h, 1024, 32768, 4, 286034
q1, d, -, 1024, 32768, 4, 828553
q1, c, -, 1024, 32768, 4, 173383
q1, r, c, 1024, 32768, 4, 287215
q1, r, h, 1024, 32768, 4, 287678
q1, d, -, 1024, 32768, 4, 827752
q1, c, -, 1024, 32768, 4, 170851
