bench, mem, temp, row_size, row_count, col_width, offset, cycles, v3
q1, d, h, 64, 32768, 4, 0, 85625
q1, r, c, 64, 32768, 4, 0, 874728
q1, d, c, 64, 32768, 4, 0, 89356
q1, r, h, 64, 32768, 4, 0, 49910
q1, d, h, 64, 32768, 4, 0, 86772
q1, r, c, 64, 32768, 4, 0, 874607
q1, d, c, 64, 32768, 4, 0, 87007
q1, r, h, 64, 32768, 4, 0, 53808
q1, d, h, 64, 32768, 4, 0, 85786
q1, r, c, 64, 32768, 4, 0, 874654
q1, d, c, 64, 32768, 4, 0, 86765
q1, r, h, 64, 32768, 4, 0, 49906
q1, d, h, 64, 32768, 4, 0, 85562
q1, r, c, 64, 32768, 4, 0, 874743
q1, d, c, 64, 32768, 4, 0, 86447
q1, r, h, 64, 32768, 4, 0, 49906
q1, d, h, 64, 32768, 4, 0, 85901
q1, r, c, 64, 32768, 4, 0, 874638
q1, d, c, 64, 32768, 4, 0, 86840
q1, r, h, 64, 32768, 4, 0, 49904
q1, d, h, 64, 32768, 4, 0, 88586
q1, r, c, 64, 32768, 4, 0, 874681
q1, d, c, 64, 32768, 4, 0, 86767
q1, r, h, 64, 32768, 4, 0, 49936
q1, d, h, 64, 32768, 4, 0, 88130
q1, r, c, 64, 32768, 4, 0, 874658
q1, d, c, 64, 32768, 4, 0, 86613
q1, r, h, 64, 32768, 4, 0, 49933
q1, d, h, 64, 32768, 4, 0, 86052
q1, r, c, 64, 32768, 4, 0, 874607
q1, d, c, 64, 32768, 4, 0, 86538
q1, r, h, 64, 32768, 4, 0, 49940
q1, d, h, 64, 32768, 4, 0, 85686
q1, r, c, 64, 32768, 4, 0, 874605
q1, d, c, 64, 32768, 4, 0, 86477
q1, r, h, 64, 32768, 4, 0, 49936
q1, d, h, 64, 32768, 4, 0, 85556
q1, r, c, 64, 32768, 4, 0, 874672
q1, d, c, 64, 32768, 4, 0, 86913
q1, r, h, 64, 32768, 4, 0, 49933
q1, d, h, 64, 32768, 4, 0, 86019
q1, r, c, 64, 32768, 4, 0, 874726
q1, d, c, 64, 32768, 4, 0, 86867
q1, r, h, 64, 32768, 4, 0, 49936
q1, d, h, 64, 32768, 4, 0, 87933
q1, r, c, 64, 32768, 4, 0, 874725
q1, d, c, 64, 32768, 4, 0, 86793
q1, r, h, 64, 32768, 4, 0, 49934
q1, d, h, 64, 32768, 4, 0, 90045
q1, r, c, 64, 32768, 4, 0, 874648
q1, d, c, 64, 32768, 4, 0, 86772
q1, r, h, 64, 32768, 4, 0, 49934
q1, d, h, 64, 32768, 4, 0, 87657
q1, r, c, 64, 32768, 4, 0, 874662
q1, d, c, 64, 32768, 4, 0, 86393
q1, r, h, 64, 32768, 4, 0, 49937
q1, d, h, 64, 32768, 4, 0, 85967
q1, r, c, 64, 32768, 4, 0, 874760
q1, d, c, 64, 32768, 4, 0, 87327
q1, r, h, 64, 32768, 4, 0, 49938
q1, d, h, 64, 32768, 4, 0, 88306
q1, r, c, 64, 32768, 4, 0, 874644
q1, d, c, 64, 32768, 4, 0, 86780
q1, r, h, 64, 32768, 4, 0, 49903
q1, d, h, 64, 32768, 4, 0, 89349
q1, r, c, 64, 32768, 4, 0, 874768
q1, d, c, 64, 32768, 4, 0, 86609
q1, r, h, 64, 32768, 4, 0, 51907
q1, d, h, 64, 32768, 4, 0, 85409
q1, r, c, 64, 32768, 8, 0, 874701
q1, d, c, 64, 32768, 8, 0, 87893
q1, r, h, 64, 32768, 8, 0, 50654
q1, d, h, 64, 32768, 8, 0, 85584
q1, r, c, 64, 32768, 8, 0, 874722
q1, d, c, 64, 32768, 8, 0, 87469
q1, r, h, 64, 32768, 8, 0, 50613
q1, d, h, 64, 32768, 8, 0, 91126
q1, r, c, 64, 32768, 8, 0, 874819
q1, d, c, 64, 32768, 8, 0, 87032
q1, r, h, 64, 32768, 8, 0, 50636
q1, d, h, 64, 32768, 8, 0, 88124
q1, r, c, 64, 32768, 8, 0, 874694
q1, d, c, 64, 32768, 8, 0, 86756
q1, r, h, 64, 32768, 8, 0, 50643
q1, d, h, 64, 32768, 8, 0, 85986
q1, r, c, 64, 32768, 8, 0, 874628
q1, d, c, 64, 32768, 8, 0, 86741
q1, r, h, 64, 32768, 8, 0, 50607
q1, d, h, 64, 32768, 8, 0, 86142
q1, r, c, 64, 32768, 8, 0, 874650
q1, d, c, 64, 32768, 8, 0, 86461
q1, r, h, 64, 32768, 8, 0, 50671
q1, d, h, 64, 32768, 8, 0, 85722
q1, r, c, 64, 32768, 8, 0, 874650
q1, d, c, 64, 32768, 8, 0, 86619
q1, r, h, 64, 32768, 8, 0, 54018
q1, d, h, 64, 32768, 8, 0, 86111
q1, r, c, 64, 32768, 8, 0, 874691
q1, d, c, 64, 32768, 8, 0, 86444
q1, r, h, 64, 32768, 8, 0, 50673
