bench, mem, row_size, row_count, col_width,data,cpu
qjoin, d,16,32768,4,875916,3327832
qjoin, c,16,32768,4,932601,3335426
qjoin, r,16,32768,4,786192,3365849
qjoin, d,16,32768,4,876545,3337837
qjoin, c,16,32768,4,930607,3379724
qjoin, r,16,32768,4,787795,3347622
qjoin, d,16,32768,4,879051,3332707
qjoin, c,16,32768,4,934567,3389220
qjoin, r,16,32768,4,789726,3375792
qjoin, d,16,32768,4,873244,3336424
qjoin, c,16,32768,4,948479,3360216
qjoin, r,16,32768,4,788048,3349023
qjoin, d,16,32768,4,877636,3323985
qjoin, c,16,32768,4,940428,3396474
qjoin, r,16,32768,4,788033,3342784
qjoin, d,16,32768,4,873234,3323068
qjoin, c,16,32768,4,924849,3348808
qjoin, r,16,32768,4,786798,3359655
qjoin, d,16,32768,4,873961,3343791
qjoin, c,16,32768,4,944769,3362656
qjoin, r,32,32768,4,788972,3345998
qjoin, d,32,32768,4,1098314,3375201
qjoin, c,32,32768,4,965794,3381676
qjoin, r,32,32768,4,785234,3369158
qjoin, d,32,32768,4,1100238,3436739
qjoin, c,32,32768,4,968498,3365752
qjoin, r,32,32768,4,787400,3351351
qjoin, d,32,32768,4,1101564,3353176
qjoin, c,32,32768,4,966401,3362469
qjoin, r,32,32768,4,788794,3350202
qjoin, d,32,32768,4,1097538,3371547
qjoin, c,32,32768,4,954962,3341205
qjoin, r,32,32768,4,788033,3345923
qjoin, d,32,32768,4,1092509,3365017
qjoin, c,32,32768,4,961257,3340956
qjoin, r,32,32768,4,788359,3356476
qjoin, d,32,32768,4,1097129,3375762
qjoin, c,32,32768,4,959804,3394582
qjoin, r,32,32768,4,789183,3349516
qjoin, d,32,32768,4,1097568,3372171
qjoin, c,32,32768,4,954567,3321209
qjoin, r,32,32768,4,788701,3352424
qjoin, d,32,32768,4,1099128,3372827
qjoin, c,32,32768,4,959857,3373758
qjoin, r,32,32768,4,788163,3352702
qjoin, d,32,32768,4,1094865,3366035
qjoin, c,32,32768,4,955112,3323208
qjoin, r,32,32768,4,790976,3344920
qjoin, d,32,32768,4,1097208,3369263
qjoin, c,32,32768,4,946416,3397843
qjoin, r,32,32768,4,789688,3370221
qjoin, d,32,32768,4,1098179,3420676
qjoin, c,32,32768,4,959854,3385682
qjoin, r,32,32768,4,788243,3346202
qjoin, d,32,32768,4,1096912,3366737
qjoin, c,32,32768,4,951242,3324581
qjoin, r,32,32768,4,788342,3360680
qjoin, d,32,32768,4,1094804,3418182
qjoin, c,32,32768,4,966973,3326744
qjoin, r,32,32768,4,787298,3363987
qjoin, d,32,32768,4,1088964,3437141
qjoin, c,32,32768,4,954567,3395676
qjoin, r,32,32768,4,791992,3371755
qjoin, d,32,32768,4,1098319,3421312
qjoin, c,32,32768,4,947918,3367352
qjoin, r,32,32768,4,785042,3355209
qjoin, d,32,32768,4,1098487,3363080
qjoin, c,32,32768,4,963949,3347927
qjoin, r,32,32768,4,787393,3356847
qjoin, d,32,32768,4,1090371,3431855
qjoin, c,32,32768,4,948112,3385726
qjoin, r,32,32768,4,791729,3352261
qjoin, d,32,32768,4,1094427,3368482
qjoin, c,32,32768,4,949101,3374664
qjoin, r,32,32768,4,782517,3369686
qjoin, d,32,32768,4,1097328,3369254
qjoin, c,32,32768,4,947782,3312075
qjoin, r,32,32768,4,788757,3343908
qjoin, d,32,32768,4,1095522,3366533
qjoin, c,32,32768,4,964925,3346238
qjoin, r,32,32768,4,782137,3368034
qjoin, d,32,32768,4,1088598,3374254
qjoin, c,32,32768,4,952145,3382728
qjoin, r,32,32768,4,787328,3342587
qjoin, d,32,32768,4,1099827,3372042
qjoin, c,32,32768,4,954567,3398292
qjoin, r,32,32768,4,783350,3352433
qjoin, d,32,32768,4,1104662,3370730
qjoin, c,32,32768,4,950624,3387282
qjoin, r,32,32768,4,791219,3348038
qjoin, d,32,32768,4,1096930,3361664
qjoin, c,32,32768,4,963734,3312876
qjoin, r,32,32768,4,786138,3351542
qjoin, d,32,32768,4,1092490,3360715
qjoin, c,32,32768,4,953851,3382726
qjoin, r,32,32768,4,785705,3358888
qjoin, d,32,32768,4,1095800,3373210
qjoin, c,32,32768,4,954567,3327282
qjoin, r,32,32768,4,789296,3371577
qjoin, d,32,32768,4,1098924,3416382
qjoin, c,32,32768,4,965425,3343608
qjoin, r,32,32768,4,785876,3346771
qjoin, d,32,32768,4,1098691,3370815
qjoin, c,32,32768,4,960124,3392474
qjoin, r,32,32768,4,789155,3358785
qjoin, d,32,32768,4,1097102,3366172
qjoin, c,32,32768,4,960124,3333862
qjoin, r,32,32768,4,787154,3360404
qjoin, d,32,32768,4,1094531,3356120
qjoin, c,32,32768,4,954567,3377350
qjoin, r,64,32768,4,788461,3350682
qjoin, d,64,32768,4,1337642,3391179
qjoin, c,64,32768,4,977100,3339232
qjoin, r,64,32768,4,785785,3351886
qjoin, d,64,32768,4,1338464,3363581
qjoin, c,64,32768,4,978857,3387244
qjoin, r,64,32768,4,791581,3358603
qjoin, d,64,32768,4,1336307,3375318
qjoin, c,64,32768,4,970098,3358866
qjoin, r,64,32768,4,790978,3343209
qjoin, d,64,32768,4,1334963,3384129
qjoin, c,64,32768,4,977715,3391590
qjoin, r,64,32768,4,785918,3354978
qjoin, d,64,32768,4,1338787,3362383
qjoin, c,64,32768,4,981190,3339632
qjoin, r,64,32768,4,786989,3356985
qjoin, d,64,32768,4,1334437,3371439
qjoin, c,64,32768,4,980004,3376617
qjoin, r,64,32768,4,787704,3360029
qjoin, d,64,32768,4,1347910,3379204
qjoin, c,64,32768,4,974567,3334416
qjoin, r,64,32768,4,788601,3362189
qjoin, d,64,32768,4,1347546,3386492
qjoin, c,64,32768,4,988507,3338664
qjoin, r,64,32768,4,789446,3350269
qjoin, d,64,32768,4,1331730,3366930
qjoin, c,64,32768,4,974567,3397516
qjoin, r,64,32768,4,786418,3347103
qjoin, d,64,32768,4,1347185,3371749
qjoin, c,64,32768,4,979586,3360633
qjoin, r,64,32768,4,786336,3345592
qjoin, d,64,32768,4,1342330,3365319
qjoin, c,64,32768,4,968412,3389725
qjoin, r,64,32768,4,792830,3352718
qjoin, d,64,32768,4,1328477,3386391
qjoin, c,64,32768,4,968412,3367867
qjoin, r,64,32768,4,786385,3349404
qjoin, d,64,32768,4,1332876,3386646
qjoin, c,64,32768,4,977108,3343608
qjoin, r,64,32768,4,786667,3362731
qjoin, d,64,32768,4,1338776,3457026
qjoin, c,64,32768,4,973351,3373843
qjoin, r,64,32768,4,789569,3348053
qjoin, d,64,32768,4,1341351,3368467
qjoin, c,64,32768,4,988158,3396567
qjoin, r,64,32768,4,788811,3345106
qjoin, d,64,32768,4,1341391,3378852
qjoin, c,64,32768,4,974567,3346334
qjoin, r,64,32768,4,788356,3353650
qjoin, d,64,32768,4,1334032,3373639
qjoin, c,64,32768,4,980434,3386040
qjoin, r,64,32768,4,784751,3349413
qjoin, d,64,32768,4,1341409,3368721
qjoin, c,64,32768,4,979838,3384143
