bench, mem, row_size, row_count, col_width, access_time, hash_time
qjoin, d, 64, 32768, 2, 1819527, 3353077
qjoin, r, 64, 32768, 2, 1064356, 3361007
qjoin, d, 64, 32768, 2, 1815878, 3355942
qjoin, r, 64, 32768, 2, 1072625, 3347188
qjoin, d, 64, 32768, 2, 1811932, 3358271
qjoin, r, 64, 32768, 2, 1065447, 3357581
qjoin, d, 64, 32768, 2, 1852706, 3350931
qjoin, r, 64, 32768, 2, 1064585, 3334491
qjoin, d, 64, 32768, 2, 1848844, 3371345
qjoin, r, 64, 32768, 2, 1066063, 3366902
qjoin, d, 64, 32768, 2, 1809457, 3347802
qjoin, r, 64, 32768, 2, 1064622, 3371331
qjoin, d, 64, 32768, 2, 1806067, 3359482
qjoin, r, 64, 32768, 2, 1066689, 3352746
qjoin, d, 64, 32768, 2, 1825792, 3369977
qjoin, r, 64, 32768, 2, 1062887, 3347287
qjoin, d, 64, 32768, 2, 1830510, 3394987
qjoin, r, 64, 32768, 2, 1064023, 3347013
qjoin, d, 64, 32768, 2, 1810689, 3364401
qjoin, r, 64, 32768, 2, 1066956, 3345147
qjoin, d, 64, 32768, 2, 1838316, 3377921
qjoin, r, 64, 32768, 4, 786106, 3345875
qjoin, d, 64, 32768, 4, 1341858, 3374953
qjoin, r, 64, 32768, 4, 785528, 3356212
qjoin, d, 64, 32768, 4, 1365133, 3413765
qjoin, r, 64, 32768, 4, 787156, 3343730
qjoin, d, 64, 32768, 4, 1331566, 3367153
qjoin, r, 64, 32768, 4, 785954, 3353081
qjoin, d, 64, 32768, 4, 1325431, 3366450
qjoin, r, 64, 32768, 4, 780347, 3376890
qjoin, d, 64, 32768, 4, 1325394, 3374882
qjoin, r, 64, 32768, 4, 788986, 3357048
qjoin, d, 64, 32768, 4, 1335411, 3366311
qjoin, r, 64, 32768, 4, 786825, 3344249
qjoin, d, 64, 32768, 4, 1340104, 3379985
qjoin, r, 64, 32768, 4, 787978, 3347324
qjoin, d, 64, 32768, 4, 1351615, 3360231
qjoin, r, 64, 32768, 4, 789340, 3356298
qjoin, d, 64, 32768, 4, 1326157, 3368641
qjoin, r, 64, 32768, 4, 788808, 3347405
qjoin, d, 64, 32768, 4, 1333511, 3366313
qjoin, r, 64, 32768, 4, 786592, 3346334
qjoin, d, 64, 32768, 4, 1337310, 3364205
qjoin, r, 64, 32768, 4, 791742, 3348667
qjoin, d, 64, 32768, 4, 1331883, 3380174
qjoin, r, 64, 32768, 4, 783406, 3369994
qjoin, d, 64, 32768, 4, 1354165, 3386775
qjoin, r, 64, 32768, 4, 786346, 3347339
qjoin, d, 64, 32768, 4, 1369197, 3366718
qjoin, r, 64, 32768, 4, 787151, 3358731
qjoin, d, 64, 32768, 4, 1330322, 3359804
qjoin, r, 64, 32768, 4, 788594, 3350906
qjoin, d, 64, 32768, 4, 1349631, 3360292
qjoin, r, 64, 32768, 4, 786164, 3349891
qjoin, d, 64, 32768, 4, 1339797, 3367745
qjoin, r, 64, 32768, 4, 786298, 3356513
qjoin, d, 64, 32768, 4, 1335833, 3362263
qjoin, r, 64, 32768, 4, 786275, 3369534
qjoin, d, 64, 32768, 4, 1357592, 3371701
qjoin, r, 64, 32768, 4, 789461, 3358957
qjoin, d, 64, 32768, 4, 1341001, 3362888
qjoin, r, 64, 32768, 4, 791673, 3343459
qjoin, d, 64, 32768, 4, 1329805, 3362105
qjoin, r, 64, 32768, 4, 787089, 3357920
qjoin, d, 64, 32768, 4, 1327111, 3349806
qjoin, r, 64, 32768, 4, 792019, 3355470
qjoin, d, 64, 32768, 4, 1346754, 3367110
qjoin, r, 64, 32768, 4, 786549, 3342257
qjoin, d, 64, 32768, 4, 1345193, 3366409
qjoin, r, 64, 32768, 4, 782248, 3360606
qjoin, d, 64, 32768, 4, 1327642, 3375197
qjoin, r, 64, 32768, 4, 786291, 3360987
qjoin, d, 64, 32768, 4, 1328448, 3373937
qjoin, r, 64, 32768, 4, 798461, 3367845
qjoin, d, 64, 32768, 4, 1325936, 3376636
qjoin, r, 64, 32768, 4, 789322, 3354536
qjoin, d, 64, 32768, 4, 1330830, 3378491
qjoin, r, 64, 32768, 4, 786607, 3352847
qjoin, d, 64, 32768, 4, 1334821, 3371202
qjoin, r, 64, 32768, 4, 786201, 3351094
qjoin, d, 64, 32768, 4, 1333502, 3362266
qjoin, r, 64, 32768, 8, 973931, 3394155
qjoin, d, 64, 32768, 8, 1347292, 3412426
qjoin, r, 64, 32768, 8, 960068, 3383435
qjoin, d, 64, 32768, 8, 1324524, 3401249
qjoin, r, 64, 32768, 8, 967764, 3381886
qjoin, d, 64, 32768, 8, 1347818, 3403379
qjoin, r, 64, 32768, 8, 968191, 3392400
qjoin, d, 64, 32768, 8, 1336700, 3413413
qjoin, r, 64, 32768, 8, 969170, 3385544
qjoin, d, 64, 32768, 8, 1330186, 3394702
qjoin, r, 64, 32768, 8, 975968, 3384292
qjoin, d, 64, 32768, 8, 1346518, 3405517
qjoin, r, 64, 32768, 8, 965221, 3383234
qjoin, d, 64, 32768, 8, 1336321, 3397258
qjoin, r, 64, 32768, 8, 961455, 3381472
qjoin, d, 64, 32768, 8, 1333690, 3393205
qjoin, r, 64, 32768, 8, 974862, 3396864
qjoin, d, 64, 32768, 8, 1334187, 3472443
qjoin, r, 64, 32768, 8, 958340, 3392245
qjoin, d, 64, 32768, 8, 1324128, 3393938
qjoin, r, 64, 32768, 8, 966413, 3388115
qjoin, d, 64, 32768, 8, 1338385, 3406337
qjoin, r, 64, 32768, 8, 971644, 3385727
qjoin, d, 64, 32768, 8, 1341894, 3406825
qjoin, r, 64, 32768, 8, 973808, 3394953
qjoin, d, 64, 32768, 8, 1331138, 3412554
qjoin, r, 64, 32768, 8, 962857, 3385695
qjoin, d, 64, 32768, 8, 1345281, 3399082
qjoin, r, 64, 32768, 8, 977095, 3394289
qjoin, d, 64, 32768, 8, 1339719, 3465177
qjoin, r, 64, 32768, 8, 958344, 3386529
qjoin, d, 64, 32768, 8, 1341465, 3401125
qjoin, r, 64, 32768, 8, 966911, 3384152
qjoin, d, 64, 32768, 8, 1340438, 3392652
qjoin, r, 64, 32768, 8, 964555, 3388974
qjoin, d, 64, 32768, 8, 1347719, 3410307
qjoin, r, 64, 32768, 8, 967359, 3379557
qjoin, d, 64, 32768, 8, 1333856, 3398030
qjoin, r, 64, 32768, 8, 965599, 3370092
