bench, mem, temp, row_size, row_count, col_width, offset, cycles
sum, d, h, 64, 262144, 4, 1, 656728
sum, r, c, 64, 262144, 4, 1, 602458
sum, d, c, 64, 262144, 4, 1, 659772
sum, r, h, 64, 262144, 4, 1, 446830
sum, d, h, 64, 262144, 4, 1, 657281
sum, r, c, 64, 262144, 4, 1, 602381
sum, d, c, 64, 262144, 4, 1, 655804
sum, r, h, 64, 262144, 4, 1, 445181
sum, d, h, 64, 262144, 4, 1, 656054
sum, r, c, 64, 262144, 4, 2, 602422
sum, d, c, 64, 262144, 4, 2, 659624
sum, r, h, 64, 262144, 4, 2, 445624
sum, d, h, 64, 262144, 4, 2, 659870
sum, r, c, 64, 262144, 4, 2, 602461
sum, d, c, 64, 262144, 4, 2, 656189
sum, r, h, 64, 262144, 4, 2, 446613
sum, d, h, 64, 262144, 4, 2, 655378
sum, r, c, 64, 262144, 4, 2, 602487
sum, d, c, 64, 262144, 4, 2, 677187
sum, r, h, 64, 262144, 4, 2, 445548
sum, d, h, 64, 262144, 4, 2, 658556
sum, r, c, 64, 262144, 4, 2, 602401
sum, d, c, 64, 262144, 4, 2, 673621
sum, r, h, 64, 262144, 4, 2, 466728
sum, d, h, 64, 262144, 4, 2, 673394
sum, r, c, 64, 262144, 4, 2, 602433
sum, d, c, 64, 262144, 4, 2, 654672
sum, r, h, 64, 262144, 4, 2, 445080
sum, d, h, 64, 262144, 4, 2, 694908
sum, r, c, 64, 262144, 4, 2, 602486
sum, d, c, 64, 262144, 4, 2, 657536
sum, r, h, 64, 262144, 4, 2, 445104
sum, d, h, 64, 262144, 4, 2, 654305
sum, r, c, 64, 262144, 4, 2, 602373
sum, d, c, 64, 262144, 4, 2, 654264
sum, r, h, 64, 262144, 4, 2, 445743
sum, d, h, 64, 262144, 4, 2, 659250
sum, r, c, 64, 262144, 4, 2, 602381
sum, d, c, 64, 262144, 4, 2, 655226
sum, r, h, 64, 262144, 4, 2, 445407
sum, d, h, 64, 262144, 4, 2, 659550
sum, r, c, 64, 262144, 4, 2, 602372
sum, d, c, 64, 262144, 4, 2, 660740
sum, r, h, 64, 262144, 4, 2, 444872
sum, d, h, 64, 262144, 4, 2, 656274
sum, r, c, 64, 262144, 4, 2, 602389
sum, d, c, 64, 262144, 4, 2, 658129
sum, r, h, 64, 262144, 4, 2, 452624
sum, d, h, 64, 262144, 4, 2, 656168
sum, r, c, 64, 262144, 4, 2, 602448
sum, d, c, 64, 262144, 4, 2, 678335
sum, r, h, 64, 262144, 4, 2, 446929
sum, d, h, 64, 262144, 4, 2, 661023
sum, r, c, 64, 262144, 4, 2, 602339
sum, d, c, 64, 262144, 4, 2, 683348
sum, r, h, 64, 262144, 4, 2, 468921
sum, d, h, 64, 262144, 4, 2, 657658
