bench, mem, temp, row_size, row_count, col_width, offset, cycles
sum, r, c, 64, 262144, 4, 2, 6996645
sum, d, c, 64, 262144, 4, 2, 664582
sum, r, h, 64, 262144, 4, 2, 447886
sum, d, h, 64, 262144, 4, 2, 656573
sum, r, c, 64, 262144, 4, 2, 6996739
sum, d, c, 64, 262144, 4, 2, 656068
sum, r, h, 64, 262144, 4, 2, 445498
sum, d, h, 64, 262144, 4, 2, 677250
sum, r, c, 64, 262144, 4, 2, 6996697
sum, d, c, 64, 262144, 4, 2, 679255
sum, r, h, 64, 262144, 4, 2, 444822
sum, d, h, 64, 262144, 4, 2, 674870
sum, r, c, 64, 262144, 4, 2, 6996694
sum, d, c, 64, 262144, 4, 2, 657174
sum, r, h, 64, 262144, 4, 2, 470379
sum, d, h, 64, 262144, 4, 2, 655315
sum, r, c, 64, 262144, 4, 2, 6996782
sum, d, c, 64, 262144, 4, 2, 658195
sum, r, h, 64, 262144, 4, 2, 446529
sum, d, h, 64, 262144, 4, 2, 657402
sum, r, c, 64, 262144, 4, 2, 6996805
sum, d, c, 64, 262144, 4, 2, 656314
sum, r, h, 64, 262144, 4, 2, 445373
sum, d, h, 64, 262144, 4, 2, 657425
sum, r, c, 64, 262144, 4, 2, 6996688
sum, d, c, 64, 262144, 4, 2, 658012
sum, r, h, 64, 262144, 4, 2, 444540
sum, d, h, 64, 262144, 4, 2, 655519
sum, r, c, 64, 262144, 4, 2, 6996644
sum, d, c, 64, 262144, 4, 2, 681475
sum, r, h, 64, 262144, 4, 2, 447536
sum, d, h, 64, 262144, 4, 2, 655445
sum, r, c, 64, 262144, 4, 2, 6996771
sum, d, c, 64, 262144, 4, 2, 657669
sum, r, h, 64, 262144, 4, 2, 445904
sum, d, h, 64, 262144, 4, 2, 656098
sum, r, c, 64, 262144, 4, 2, 6996694
sum, d, c, 64, 262144, 4, 2, 676355
sum, r, h, 64, 262144, 4, 2, 445092
sum, d, h, 64, 262144, 4, 2, 657234
sum, r, c, 64, 262144, 4, 2, 6996768
sum, d, c, 64, 262144, 4, 2, 655984
sum, r, h, 64, 262144, 4, 2, 446215
sum, d, h, 64, 262144, 4, 2, 657868
sum, r, c, 64, 262144, 4, 2, 6996702
sum, d, c, 64, 262144, 4, 2, 655518
sum, r, h, 64, 262144, 4, 2, 449827
sum, d, h, 64, 262144, 4, 2, 683470
sum, r, c, 64, 262144, 4, 3, 6996648
sum, d, c, 64, 262144, 4, 3, 678947
sum, r, h, 64, 262144, 4, 3, 448314
sum, d, h, 64, 262144, 4, 3, 660639
sum, r, c, 64, 262144, 4, 3, 6997203
sum, d, c, 64, 262144, 4, 3, 656216
sum, r, h, 64, 262144, 4, 3, 447197
sum, d, h, 64, 262144, 4, 3, 660183
sum, r, c, 64, 262144, 4, 3, 6996757
sum, d, c, 64, 262144, 4, 3, 655016
sum, r, h, 64, 262144, 4, 3, 452956
sum, d, h, 64, 262144, 4, 3, 685757
sum, r, c, 64, 262144, 4, 3, 6996782
sum, d, c, 64, 262144, 4, 3, 657035
sum, r, h, 64, 262144, 4, 3, 456566
sum, d, h, 64, 262144, 4, 3, 655502
sum, r, c, 64, 262144, 4, 3, 6996831
sum, d, c, 64, 262144, 4, 3, 680056
sum, r, h, 64, 262144, 4, 3, 446198
sum, d, h, 64, 262144, 4, 3, 659225
sum, r, c, 64, 262144, 4, 3, 6996760
sum, d, c, 64, 262144, 4, 3, 655990
sum, r, h, 64, 262144, 4, 3, 445841
sum, d, h, 64, 262144, 4, 3, 657081
sum, r, c, 64, 262144, 4, 3, 6996767
sum, d, c, 64, 262144, 4, 3, 657056
sum, r, h, 64, 262144, 4, 3, 447216
sum, d, h, 64, 262144, 4, 3, 670118
sum, r, c, 64, 262144, 4, 3, 6996860
sum, d, c, 64, 262144, 4, 3, 656166
sum, r, h, 64, 262144, 4, 3, 445970
sum, d, h, 64, 262144, 4, 3, 657250
sum, r, c, 64, 262144, 4, 3, 6996801
sum, d, c, 64, 262144, 4, 3, 655735
sum, r, h, 64, 262144, 4, 3, 450529
sum, d, h, 64, 262144, 4, 3, 655316
sum, r, c, 64, 262144, 4, 3, 6996822
sum, d, c, 64, 262144, 4, 3, 657349
sum, r, h, 64, 262144, 4, 3, 447871
sum, d, h, 64, 262144, 4, 3, 696287
sum, r, c, 64, 262144, 4, 3, 6996704
sum, d, c, 64, 262144, 4, 3, 655973
sum, r, h, 64, 262144, 4, 3, 445574
sum, d, h, 64, 262144, 4, 3, 687911
sum, r, c, 64, 262144, 4, 3, 6996799
sum, d, c, 64, 262144, 4, 3, 655749
sum, r, h, 64, 262144, 4, 3, 445041
sum, d, h, 64, 262144, 4, 3, 678169
sum, r, c, 64, 262144, 4, 3, 6996645
sum, d, c, 64, 262144, 4, 3, 657849
sum, r, h, 64, 262144, 4, 3, 445863
sum, d, h, 64, 262144, 4, 3, 655841
sum, r, c, 64, 262144, 4, 3, 6998096
sum, d, c, 64, 262144, 4, 3, 685858
sum, r, h, 64, 262144, 4, 3, 447969
sum, d, h, 64, 262144, 4, 3, 681808
sum, r, c, 64, 262144, 4, 3, 6996716
sum, d, c, 64, 262144, 4, 3, 656198
sum, r, h, 64, 262144, 4, 3, 445714
sum, d, h, 64, 262144, 4, 3, 657017
sum, r, c, 64, 262144, 4, 3, 6996649
sum, d, c, 64, 262144, 4, 3, 657639
sum, r, h, 64, 262144, 4, 3, 448363
sum, d, h, 64, 262144, 4, 3, 655947
sum, r, c, 64, 262144, 4, 3, 6996908
sum, d, c, 64, 262144, 4, 3, 687589
sum, r, h, 64, 262144, 4, 3, 460758
sum, d, h, 64, 262144, 4, 3, 657243
sum, r, c, 64, 262144, 4, 3, 6996751
sum, d, c, 64, 262144, 4, 3, 656072
sum, r, h, 64, 262144, 4, 3, 453918
sum, d, h, 64, 262144, 4, 3, 655624
sum, r, c, 64, 262144, 4, 3, 6996777
sum, d, c, 64, 262144, 4, 3, 657564
sum, r, h, 64, 262144, 4, 3, 446002
sum, d, h, 64, 262144, 4, 3, 657386
sum, r, c, 64, 262144, 4, 3, 6996862
sum, d, c, 64, 262144, 4, 3, 656026
sum, r, h, 64, 262144, 4, 3, 445305
sum, d, h, 64, 262144, 4, 3, 657150
sum, r, c, 64, 262144, 4, 3, 6996698
sum, d, c, 64, 262144, 4, 3, 655959
sum, r, h, 64, 262144, 4, 3, 445061
sum, d, h, 64, 262144, 4, 3, 655833
sum, r, c, 64, 262144, 4, 3, 6996766
sum, d, c, 64, 262144, 4, 3, 658062
sum, r, h, 64, 262144, 4, 3, 446405
sum, d, h, 64, 262144, 4, 3, 656652
sum, r, c, 64, 262144, 4, 3, 6996713
sum, d, c, 64, 262144, 4, 3, 657699
sum, r, h, 64, 262144, 4, 3, 447569
sum, d, h, 64, 262144, 4, 3, 659884
sum, r, c, 64, 262144, 4, 3, 6996742
sum, d, c, 64, 262144, 4, 3, 659608
sum, r, h, 64, 262144, 4, 3, 447025
