bench, mem, temp, row_size, row_count, col_width, offset, cycles, v1
q1, r, h, 64, 32768, 2, 0, 49568
q1, d, h, 64, 32768, 2, 0, 88497
q1, r, c, 64, 32768, 2, 0, 1453380
q1, d, c, 64, 32768, 2, 0, 90707
q1, r, h, 64, 32768, 2, 0, 49564
q1, d, h, 64, 32768, 2, 0, 86283
q1, r, c, 64, 32768, 2, 0, 1453585
q1, d, c, 64, 32768, 2, 0, 87511
q1, r, h, 64, 32768, 2, 0, 49568
q1, d, h, 64, 32768, 2, 0, 86140
q1, r, c, 64, 32768, 2, 0, 1453710
q1, d, c, 64, 32768, 2, 0, 87505
q1, r, h, 64, 32768, 2, 0, 51518
q1, d, h, 64, 32768, 2, 0, 87653
q1, r, c, 64, 32768, 2, 0, 1453439
q1, d, c, 64, 32768, 2, 0, 87420
q1, r, h, 64, 32768, 2, 0, 49565
q1, d, h, 64, 32768, 2, 0, 92278
q1, r, c, 64, 32768, 2, 0, 1453897
q1, d, c, 64, 32768, 2, 0, 87484
q1, r, h, 64, 32768, 2, 0, 49568
q1, d, h, 64, 32768, 2, 0, 85508
q1, r, c, 64, 32768, 2, 0, 1453563
q1, d, c, 64, 32768, 2, 0, 88222
q1, r, h, 64, 32768, 2, 0, 49551
q1, d, h, 64, 32768, 2, 0, 86253
q1, r, c, 64, 32768, 2, 0, 1453562
q1, d, c, 64, 32768, 2, 0, 113095
q1, r, h, 64, 32768, 2, 0, 49568
q1, d, h, 64, 32768, 2, 0, 103468
q1, r, c, 64, 32768, 4, 0, 1480679
q1, d, c, 64, 32768, 4, 0, 87344
q1, r, h, 64, 32768, 4, 0, 49919
q1, d, h, 64, 32768, 4, 0, 85773
q1, r, c, 64, 32768, 4, 0, 1480333
q1, d, c, 64, 32768, 4, 0, 87437
q1, r, h, 64, 32768, 4, 0, 51693
q1, d, h, 64, 32768, 4, 0, 87380
q1, r, c, 64, 32768, 4, 0, 1480632
q1, d, c, 64, 32768, 4, 0, 87318
q1, r, h, 64, 32768, 4, 0, 49932
q1, d, h, 64, 32768, 4, 0, 86375
q1, r, c, 64, 32768, 4, 0, 1480359
q1, d, c, 64, 32768, 4, 0, 87552
q1, r, h, 64, 32768, 4, 0, 51668
q1, d, h, 64, 32768, 4, 0, 86036
q1, r, c, 64, 32768, 4, 0, 1480173
q1, d, c, 64, 32768, 4, 0, 87332
q1, r, h, 64, 32768, 4, 0, 49940
q1, d, h, 64, 32768, 4, 0, 86158
q1, r, c, 64, 32768, 4, 0, 1480200
q1, d, c, 64, 32768, 4, 0, 89773
q1, r, h, 64, 32768, 4, 0, 49935
q1, d, h, 64, 32768, 4, 0, 85566
q1, r, c, 64, 32768, 4, 0, 1480274
q1, d, c, 64, 32768, 4, 0, 86728
q1, r, h, 64, 32768, 4, 0, 49935
q1, d, h, 64, 32768, 4, 0, 85868
q1, r, c, 64, 32768, 4, 0, 1480210
q1, d, c, 64, 32768, 4, 0, 86694
q1, r, h, 64, 32768, 4, 0, 49935
q1, d, h, 64, 32768, 4, 0, 90293
q1, r, c, 64, 32768, 4, 0, 1480167
q1, d, c, 64, 32768, 4, 0, 86673
q1, r, h, 64, 32768, 4, 0, 52031
q1, d, h, 64, 32768, 4, 0, 85861
q1, r, c, 64, 32768, 4, 0, 1480319
q1, d, c, 64, 32768, 4, 0, 87518
q1, r, h, 64, 32768, 4, 0, 49934
q1, d, h, 64, 32768, 4, 0, 87832
q1, r, c, 64, 32768, 4, 0, 1480217
q1, d, c, 64, 32768, 4, 0, 86700
q1, r, h, 64, 32768, 4, 0, 49934
q1, d, h, 64, 32768, 4, 0, 86165
q1, r, c, 64, 32768, 4, 0, 1480637
q1, d, c, 64, 32768, 4, 0, 110815
q1, r, h, 64, 32768, 4, 0, 49933
q1, d, h, 64, 32768, 4, 0, 89700
q1, r, c, 64, 32768, 4, 0, 1480562
q1, d, c, 64, 32768, 4, 0, 86780
q1, r, h, 64, 32768, 4, 0, 49933
q1, d, h, 64, 32768, 4, 0, 85666
q1, r, c, 64, 32768, 4, 0, 1480535
q1, d, c, 64, 32768, 4, 0, 86825
q1, r, h, 64, 32768, 4, 0, 49936
q1, d, h, 64, 32768, 4, 0, 88432
q1, r, c, 64, 32768, 4, 0, 1480312
q1, d, c, 64, 32768, 4, 0, 91142
q1, r, h, 64, 32768, 4, 0, 49959
q1, d, h, 64, 32768, 4, 0, 85319
q1, r, c, 64, 32768, 4, 0, 1480159
q1, d, c, 64, 32768, 4, 0, 86958
q1, r, h, 64, 32768, 4, 0, 49933
q1, d, h, 64, 32768, 4, 0, 85546
q1, r, c, 64, 32768, 4, 0, 1479971
q1, d, c, 64, 32768, 4, 0, 87302
q1, r, h, 64, 32768, 4, 0, 51677
q1, d, h, 64, 32768, 4, 0, 85557
q1, r, c, 64, 32768, 4, 0, 1480676
q1, d, c, 64, 32768, 4, 0, 86433
q1, r, h, 64, 32768, 4, 0, 49934
q1, d, h, 64, 32768, 4, 0, 85619
q1, r, c, 64, 32768, 4, 0, 1480300
q1, d, c, 64, 32768, 4, 0, 87742
q1, r, h, 64, 32768, 4, 0, 49937
q1, d, h, 64, 32768, 4, 0, 88279
