bench, mem, temp, row_size, row_count, col_width, offset, cycles, l1_total
q1, d, c, 64, 32768, 8, 0, 50128, 262551
q1, d, c, 64, 32768, 8, 0, 50125, 262550
q1, d, c, 64, 32768, 8, 0, 50131, 262552
q1, d, c, 64, 32768, 8, 0, 52007, 263714
q1, d, c, 64, 32768, 8, 0, 52236, 264174
q1, d, c, 64, 32768, 8, 0, 50121, 262552
q1, d, c, 64, 32768, 8, 0, 50115, 262551
q1, d, c, 64, 32768, 8, 0, 50080, 262552
q1, d, c, 64, 32768, 8, 0, 52534, 264486
q1, d, c, 64, 32768, 8, 0, 50128, 262553
q1, d, c, 64, 32768, 8, 0, 50121, 262552
q1, d, c, 64, 32768, 8, 0, 50125, 262554
q1, d, c, 64, 32768, 8, 0, 50140, 262552
q1, d, c, 64, 32768, 8, 0, 50116, 262551
q1, d, c, 64, 32768, 8, 0, 50089, 262552
q1, d, c, 64, 32768, 8, 0, 50115, 262551
q1, d, c, 64, 32768, 8, 0, 50119, 262551
q1, d, c, 64, 32768, 16, 0, 53900, 295316
q1, d, c, 64, 32768, 16, 0, 54004, 295319
q1, d, c, 64, 32768, 16, 0, 70202, 297039
q1, d, c, 64, 32768, 16, 0, 53958, 295317
q1, d, c, 64, 32768, 16, 0, 57356, 298529
q1, d, c, 64, 32768, 16, 0, 53926, 295318
q1, d, c, 64, 32768, 16, 0, 53932, 295321
q1, d, c, 64, 32768, 16, 0, 56850, 297982
q1, d, c, 64, 32768, 16, 0, 53939, 295320
q1, d, c, 64, 32768, 16, 0, 54076, 295321
q1, d, c, 64, 32768, 16, 0, 53868, 295320
q1, d, c, 64, 32768, 16, 0, 57674, 298896
q1, d, c, 64, 32768, 16, 0, 53961, 295319
q1, d, c, 64, 32768, 16, 0, 53970, 295318
q1, d, c, 64, 32768, 16, 0, 53888, 295320
q1, d, c, 64, 32768, 16, 0, 54001, 295319
q1, d, c, 64, 32768, 16, 0, 53929, 295319
q1, d, c, 64, 32768, 16, 0, 53937, 295321
q1, d, c, 64, 32768, 16, 0, 53913, 295320
q1, d, c, 64, 32768, 16, 0, 54039, 295321
q1, d, c, 64, 32768, 16, 0, 53964, 295318
q1, d, c, 64, 32768, 16, 0, 53867, 295319
q1, d, c, 64, 32768, 16, 0, 53976, 295320
q1, d, c, 64, 32768, 16, 0, 54018, 295320
q1, d, c, 64, 32768, 16, 0, 53996, 295322
q1, d, c, 64, 32768, 16, 0, 53986, 295319
q1, d, c, 64, 32768, 16, 0, 53881, 295320
q1, d, c, 64, 32768, 16, 0, 54058, 295320
q1, d, c, 64, 32768, 16, 0, 54000, 295321
q1, d, c, 64, 32768, 16, 0, 54018, 295320
