bench, mem, temp, row_size, row_count, col_width, offset, cycles, l2_miss
q1, d, c, 64, 32768, 16, 0, 53995, 8212
q1, d, c, 64, 32768, 16, 0, 53995, 8212
q1, d, c, 64, 32768, 16, 0, 53941, 8210
q1, d, c, 64, 32768, 16, 0, 53958, 8211
q1, d, c, 64, 32768, 16, 0, 53955, 8208
q1, d, c, 64, 32768, 16, 0, 53911, 8207
q1, d, c, 64, 32768, 16, 0, 53926, 8211
q1, d, c, 64, 32768, 16, 0, 55692, 8316
q1, d, c, 64, 32768, 16, 0, 53973, 8212
q1, d, c, 64, 32768, 16, 0, 54081, 8216
q1, d, c, 64, 32768, 16, 0, 56478, 8329
q1, d, c, 64, 32768, 16, 0, 53939, 8213
q1, d, c, 64, 32768, 16, 0, 54083, 8217
q1, d, c, 64, 32768, 16, 0, 54012, 8210
q1, d, c, 64, 32768, 16, 0, 54027, 8211
q1, d, c, 64, 32768, 16, 0, 53989, 8211
q1, d, c, 64, 32768, 16, 0, 54037, 8210
q1, d, c, 64, 32768, 16, 0, 53945, 8220
q1, d, c, 64, 32768, 16, 0, 53928, 8211
q1, d, c, 64, 32768, 16, 0, 56083, 8300
q1, d, c, 64, 32768, 16, 0, 66625, 8300
q1, d, c, 64, 32768, 16, 0, 53959, 8220
q1, d, c, 64, 32768, 16, 0, 53993, 8214
q1, d, c, 64, 32768, 16, 0, 54050, 8213
q1, d, c, 64, 32768, 16, 0, 53893, 8209
q1, d, c, 64, 32768, 16, 0, 54016, 8215
