bench, mem, temp, row_size, row_count, col_width, offset, cycles, l1_miss, l1_total, l2_miss, l2_total
q1, dc, c,64,32768,2,0,49432,38,262554,1033,2792
q1, dc, c,64,32768,2,0,49420,46,262553,1203,2130
q1, dc, c,64,32768,2,0,49426,44,262552,1036,2136
q1, dc, c,64,32768,2,0,49492,40,262551,1039,2166
q1, dc, c,64,32768,2,0,49418,37,262551,1039,2954
q1, dc, c,64,32768,2,0,49441,42,262555,1038,2147
q1, dc, c,64,32768,2,0,49427,49,262554,1040,2138
q1, dc, c,64,32768,2,0,49423,45,262553,1038,2121
q1, dc, c,64,32768,2,0,49569,41,263736,1037,2923
q1, dc, c,64,32768,2,0,49416,40,262551,1040,2866
q1, dc, c,64,32768,2,0,49430,41,262552,1040,2758
q1, dc, c,64,32768,2,0,49413,32,262553,1091,2864
q1, dc, c,64,32768,2,0,49433,42,262549,1142,2131
q1, dc, c,64,32768,2,0,49414,37,262553,1107,2121
q1, dc, c,64,32768,2,0,49425,47,264098,1102,2153
q1, dc, c,64,32768,2,0,49418,41,262550,1036,2119
q1, dc, c,64,32768,2,0,49427,46,262551,1038,2126
q1, dc, c,64,32768,2,0,49429,39,262552,1039,2129
q1, dc, c,64,32768,2,0,49440,39,262552,1127,2147
q1, dc, c,64,32768,4,0,52545,233,262553,2062,4191
q1, dc, c,64,32768,4,0,49649,60,262551,2061,4188
q1, dc, c,64,32768,4,0,52013,239,262552,2150,4201
q1, dc, c,64,32768,4,0,49647,69,262553,2062,4186
q1, dc, c,64,32768,4,0,49643,55,262550,2063,4216
q1, dc, c,64,32768,4,0,49709,59,262551,2060,4205
q1, dc, c,64,32768,4,0,49635,55,264157,2061,4190
q1, dc, c,64,32768,4,0,49684,59,262552,2062,4183
q1, dc, c,64,32768,4,0,49644,66,262550,2067,4209
q1, dc, c,64,32768,4,0,49641,63,262551,2062,4193
q1, dc, c,64,32768,4,0,49663,64,262552,2146,4194
q1, dc, c,64,32768,4,0,49679,59,262554,2062,4173
q1, dc, c,64,32768,4,0,49673,61,262554,2066,5511
q1, dc, c,64,32768,4,0,49638,59,262552,2059,4191
q1, dc, c,64,32768,4,0,49639,53,262551,2065,4195
q1, dc, c,64,32768,4,0,49641,62,262552,2060,4171
q1, dc, c,64,32768,4,0,49649,58,264228,2062,4178
q1, dc, c,64,32768,4,0,49646,62,262551,2064,4206
q1, dc, c,64,32768,4,0,53364,299,262553,2061,4198
q1, dc, c,64,32768,4,0,49662,60,262552,2060,4209
q1, dc, c,64,32768,4,0,49643,62,262552,2118,4197
q1, dc, c,64,32768,4,0,49636,60,264069,2062,4199
q1, dc, c,64,32768,4,0,49646,57,262551,2062,4213
q1, dc, c,64,32768,4,0,52388,238,264138,2063,4201
q1, dc, c,64,32768,4,0,49641,63,264077,2060,4202
q1, dc, c,64,32768,4,0,49639,58,262551,2060,4191
q1, dc, c,64,32768,4,0,49642,62,262552,2063,4197
q1, dc, c,64,32768,4,0,49634,71,262549,2065,4901
q1, dc, c,64,32768,4,0,52761,306,264075,2062,4209
q1, dc, c,64,32768,4,0,49636,69,262550,2065,4187
q1, dc, c,64,32768,8,0,50116,106,263901,4111,8294
q1, dc, c,64,32768,8,0,50173,103,262551,4112,8288
q1, dc, c,64,32768,8,0,50090,103,262551,4176,8300
q1, dc, c,64,32768,8,0,52784,304,262553,4112,8268
q1, dc, c,64,32768,8,0,50129,96,262554,4108,8288
q1, dc, c,64,32768,8,0,50124,96,262551,4113,8292
q1, dc, c,64,32768,8,0,51931,275,262553,4109,8297
q1, dc, c,64,32768,8,0,50117,93,262552,4113,8328
q1, dc, c,64,32768,8,0,50131,96,262550,4112,8321
q1, dc, c,64,32768,8,0,50120,95,262552,4112,8305
q1, dc, c,64,32768,8,0,50085,93,262554,4109,8297
q1, dc, c,64,32768,8,0,50088,94,262552,4109,9110
q1, dc, c,64,32768,8,0,50121,97,262551,4112,8284
q1, dc, c,64,32768,8,0,50122,104,262551,4221,8278
q1, dc, c,64,32768,8,0,50081,88,262550,4178,8285
q1, dc, c,64,32768,8,0,50085,98,262552,4191,8318
q1, dc, c,64,32768,8,0,50139,95,263714,4109,8282
q1, dc, c,64,32768,8,0,50121,96,264174,4113,8295
q1, dc, c,64,32768,8,0,50096,96,262552,4109,8311
q1, dc, c,64,32768,8,0,50087,103,262551,4113,8301
q1, dc, c,64,32768,8,0,50122,99,262552,4111,8302
q1, dc, c,64,32768,8,0,50101,97,264486,4111,8298
